id,pertanyaan,jawaban,kategori,cleaning,case_folding,normalisasi,tokenisasi,stopword_removal
88,kelas bumi untuk usia berapa...,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
89,kelas bumi utk usiaa berapa?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usiaa berapa,kelas bumi utk usiaa berapa,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
90,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
91,kelas awan untuk usia berapa ya,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa ya,kelas awan untuk usia berapa ya,kelas awan untuk usia berapa ya,"['kelas', 'awan', 'untuk', 'usia', 'berapa', 'ya']","['kelas', 'awan', 'usia', 'ya']"
92,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
93,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
94,ank usia 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
95,kelas awan utk usiaa berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan utk usiaa berapa,kelas awan utk usiaa berapa,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
96,ank usiaa 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usiaa tahun cocok aktivitas apa,ank usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
97,ank suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar dong,ank suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
98,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
99,kelas bumi untuk usiaa brp dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usiaa brp dong,kelas bumi untuk usiaa brp dong,kelas bumi untuk usiaa berapa dong,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa', 'dong']","['kelas', 'bumi', 'usiaa']"
100,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
101,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
102,anak usiaa 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ya']"
103,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
104,jadwal kegiatan kidsland kapan dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'dong']","['jadwal', 'kegiatan', 'kidsland']"
105,anak usia 5 tahun cocok aktivitas apa dong,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'dong']","['anak', 'usia', 'cocok', 'aktivitas']"
106,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
107,ank suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
108,jdwl kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan,jdwl kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
109,anak usia 5 tahun cocok aktivitas apa??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
110,anak usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
111,jdwl kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan,jdwl kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
112,ank suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
113,anak usiaa 3 tahun cocok aktivitas apa ya,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ya']"
114,ank usia 5 tahun cocok aktivitas apa?,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
115,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
116,lokasi kegiatan dimana dong,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,"['lokasi', 'kegiatan', 'dimana', 'dong']","['lokasi', 'kegiatan', 'dimana']"
117,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
118,kelas awan untuk usia berapa??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
119,cara daftar kidsland?,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
120,anak usia 3 tahun cocok aktivitas apa dong,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'dong']","['anak', 'usia', 'cocok', 'aktivitas']"
121,anak usia 5 tahun cocok aktivitas ap ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas ap ya,anak usia tahun cocok aktivitas ap ya,anak usia tahun cocok aktivitas ap ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ap', 'ya']"
122,anak suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
123,ank usia 5 tahun cocok aktivitas apa,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
124,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
125,jadwal kegiatan kidsland kapan?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
126,anak usia 3 tahun cocok aktivitas apa??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
127,jadwal kegiatan kidsland kapn dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,"['jadwal', 'kegiatan', 'kidsland', 'kapn', 'dong']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
128,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
129,kelas awan utk usia berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan utk usia berapa,kelas awan utk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
130,anak usia 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
131,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
132,ank usiaa 5 tahun cocok aktivitas ap...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usiaa tahun cocok aktivitas ap,ank usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
133,ank suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar dong,ank suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
134,kls awan utk usia berapa ya,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan utk usia berapa ya,kls awan utk usia berapa ya,kelas awan untuk usia berapa ya,"['kelas', 'awan', 'untuk', 'usia', 'berapa', 'ya']","['kelas', 'awan', 'usia', 'ya']"
135,anak usia 3 tahun cocok aktivitas apa,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
136,jadwal kegiatan kidsland kapan?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
137,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
138,kelas awan utk usia berapa??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan utk usia berapa,kelas awan utk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
139,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
140,ank suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
141,anak suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
142,ank suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
143,anak usiaa 3 tahun cocok aktivitas ap??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
144,ank suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
145,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
146,anak usiaa 5 tahun cocok aktivitas ap ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas ap ya,anak usiaa tahun cocok aktivitas ap ya,anak usiaa tahun cocok aktivitas ap ya,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap', 'ya']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap', 'ya']"
147,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
148,anak usia 5 tahun cocok aktivitas ap??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
149,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
150,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
151,jadwal kegiatan kidsland kapn?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
152,kelas bumi untuk usia berap,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berap,kelas bumi untuk usia berap,kelas bumi untuk usia berap,"['kelas', 'bumi', 'untuk', 'usia', 'berap']","['kelas', 'bumi', 'usia', 'berap']"
153,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
154,kelas awan untuk usiaa brp,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa brp,kelas awan untuk usiaa brp,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
155,anak suka menggambar ya,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar ya,anak suka menggambar ya,anak suka menggambar ya,"['anak', 'suka', 'menggambar', 'ya']","['anak', 'suka', 'menggambar', 'ya']"
156,ank usia 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
157,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
158,kls awan utk usia berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan utk usia berapa,kls awan utk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
159,jadwal kegiatan kidsland kapan,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
160,jadwal kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
161,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
162,anak usia 5 tahun cocok aktivitas apa??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
